plot_id,survey_year,survey_month,survey_day,plot_radius,latitude_y,longitude_x,georef_source,georef_accuracy,coord_epsg,data_subsource,data_source,survey_method,fcover_scale,survey_purpose,geometry,admin_unit,admin_country,fire_years,bioclim_subzone,duplicated_coords,duplicated_date
120724a1,2012,7,24,55,70.07055,-155.1952,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-155.19520568847656 70.07054901123043),Alaska,United States of America,,4,,"['120724a1', '120724b1']"
120724b1,2012,7,24,55,70.06855,-155.20688,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-155.20687866210938 70.06855010986322),Alaska,United States of America,,4,,"['120724a1', '120724b1']"
120726a1,2012,7,26,55,70.4825,-157.01091,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-157.0109100341797 70.48249816894526),Alaska,United States of America,,4,,"['120726a1', '120726a2', '120726b1']"
120726a2,2012,7,26,55,70.48056,-157.01808,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-157.01808166503906 70.48056030273433),Alaska,United States of America,,4,,"['120726a1', '120726a2', '120726b1']"
120726b1,2012,7,26,55,69.61371,-152.11984,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.11984252929688 69.61370849609368),Alaska,United States of America,,4,,"['120726a1', '120726a2', '120726b1']"
120727a1,2012,7,27,55,70.46716,-157.40948,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-157.40948486328125 70.46716308593747),Alaska,United States of America,,4,,"['120727a1', '120727a2', '120727b1']"
120727a2,2012,7,27,55,70.46437,-157.41348,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-157.41348266601562 70.46437072753903),Alaska,United States of America,,4,,"['120727a1', '120727a2', '120727b1']"
120727b1,2012,7,27,55,69.297775,-152.4936,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.4936065673828 69.2977752685546),Alaska,United States of America,,5,,"['120727a1', '120727a2', '120727b1']"
120728a1,2012,7,28,55,70.2035,-155.1444,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-155.14439392089844 70.20349884033199),Alaska,United States of America,,4,,"['120728a1', '120728a2', '120728a3', '120728a4', '120728b1']"
120728a2,2012,7,28,55,70.205734,-155.13936,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-155.1393585205078 70.20573425292964),Alaska,United States of America,,4,,"['120728a1', '120728a2', '120728a3', '120728a4', '120728b1']"
120728a3,2012,7,28,55,70.200455,-155.15791,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-155.15791320800784 70.200454711914),Alaska,United States of America,,4,,"['120728a1', '120728a2', '120728a3', '120728a4', '120728b1']"
120728a4,2012,7,28,55,70.20063,-155.14421,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-155.1442108154297 70.20063018798824),Alaska,United States of America,,4,,"['120728a1', '120728a2', '120728a3', '120728a4', '120728b1']"
120728b1,2012,7,28,55,69.961174,-152.46909,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.46908569335938 69.96117401123043),Alaska,United States of America,,4,,"['120728a1', '120728a2', '120728a3', '120728a4', '120728b1']"
120729a1,2012,7,29,55,69.80233,-157.57011,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-157.5701141357422 69.80233001708979),Alaska,United States of America,,4,,"['120729a1', '120729a2', '120729a3', '120729b1', '120729b2']"
120729a2,2012,7,29,55,69.80332,-157.55734,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-157.55734252929688 69.80332183837886),Alaska,United States of America,,4,,"['120729a1', '120729a2', '120729a3', '120729b1', '120729b2']"
120729a3,2012,7,29,55,69.80286,-157.54384,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-157.54383850097656 69.80285644531246),Alaska,United States of America,,4,,"['120729a1', '120729a2', '120729a3', '120729b1', '120729b2']"
120729b1,2012,7,29,55,69.37963,-154.98158,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-154.98158264160156 69.37963104248041),Alaska,United States of America,,5,,"['120729a1', '120729a2', '120729a3', '120729b1', '120729b2']"
120729b2,2012,7,29,55,69.377655,-154.9714,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-154.9714050292969 69.37765502929682),Alaska,United States of America,,5,,"['120729a1', '120729a2', '120729a3', '120729b1', '120729b2']"
120730a1,2012,7,30,55,69.9413,-157.00117,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-157.0011749267578 69.9412994384765),Alaska,United States of America,,4,,"['120716a1b', '120730a1', '120730b1', '120730b2', '120730b3']"
120730b1,2012,7,30,55,69.334755,-153.42764,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-153.42764282226562 69.3347549438476),Alaska,United States of America,,5,,"['120716a1b', '120730a1', '120730b1', '120730b2', '120730b3']"
120730b2,2012,7,30,55,69.33664,-153.43802,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-153.43801879882812 69.33663940429682),Alaska,United States of America,,5,,"['120716a1b', '120730a1', '120730b1', '120730b2', '120730b3']"
120730b3,2012,7,30,55,69.33542,-153.4468,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-153.44679260253906 69.33541870117182),Alaska,United States of America,,5,,"['120716a1b', '120730a1', '120730b1', '120730b2', '120730b3']"
120731a1,2012,7,31,55,70.46193,-157.43385,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-157.43385314941406 70.461929321289),Alaska,United States of America,,4,,"['120731a1', '120731a2', '120731b1', '120731b2']"
120731a2,2012,7,31,55,70.46121,-157.42957,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-157.4295654296875 70.46121215820308),Alaska,United States of America,,4,,"['120731a1', '120731a2', '120731b1', '120731b2']"
120731b1,2012,7,31,55,69.364586,-152.11197,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.11196899414062 69.36458587646477),Alaska,United States of America,,5,,"['120731a1', '120731a2', '120731b1', '120731b2']"
120731b2,2012,7,31,55,69.36518,-152.11552,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.1155242919922 69.36518096923822),Alaska,United States of America,,5,,"['120731a1', '120731a2', '120731b1', '120731b2']"
120801a1,2012,8,1,55,70.491806,-157.49117,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-157.4911651611328 70.49180603027341),Alaska,United States of America,,4,,"['120801a1', '120801a2', '120801a3']"
120801a2,2012,8,1,55,70.49001,-157.5064,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-157.5063934326172 70.49001312255855),Alaska,United States of America,,4,,"['120801a1', '120801a2', '120801a3']"
120801a3,2012,8,1,55,70.49533,-157.49057,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-157.49057006835938 70.49533081054685),Alaska,United States of America,,4,,"['120801a1', '120801a2', '120801a3']"
120802b1,2012,8,2,55,69.36434,-152.10417,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.1041717529297 69.36434173583979),Alaska,United States of America,,5,,
120803a1,2012,8,3,55,69.3814,-152.16371,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.16371154785156 69.38140106201166),Alaska,United States of America,,5,,"['120803a1', '120803a2', '120803b1']"
120803a2,2012,8,3,55,69.38269,-152.16248,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.1624755859375 69.38269042968744),Alaska,United States of America,,5,,"['120803a1', '120803a2', '120803b1']"
120803b1,2012,8,3,55,69.38456,-152.16602,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.166015625 69.3845596313476),Alaska,United States of America,,5,,"['120803a1', '120803a2', '120803b1']"
120805a1,2012,8,5,55,69.36088,-152.12346,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.1234588623047 69.3608779907226),Alaska,United States of America,,5,,"['120805a1', '120805a2', '120805b1']"
120805a2,2012,8,5,55,69.36888,-152.09148,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.0914764404297 69.36888122558587),Alaska,United States of America,,5,,"['120805a1', '120805a2', '120805b1']"
120805b1,2012,8,5,55,69.37098,-152.09895,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.0989532470703 69.37097930908196),Alaska,United States of America,,5,,"['120805a1', '120805a2', '120805b1']"
120806a1,2012,8,6,55,69.348,-152.17827,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.1782684326172 69.34799957275384),Alaska,United States of America,,5,,"['120806a1', '120806a2', '120806b1', '120806b2']"
120806a2,2012,8,6,55,69.34123,-152.18599,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.1859893798828 69.34123229980463),Alaska,United States of America,,5,,"['120806a1', '120806a2', '120806b1', '120806b2']"
120806b1,2012,8,6,55,69.343254,-152.21498,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.21498107910156 69.34325408935541),Alaska,United States of America,,5,,"['120806a1', '120806a2', '120806b1', '120806b2']"
120806b2,2012,8,6,55,69.340195,-152.21762,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.21762084960938 69.34019470214838),Alaska,United States of America,,5,,"['120806a1', '120806a2', '120806b1', '120806b2']"
120807a1,2012,8,7,55,69.64475,-152.1658,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.16580200195312 69.64475250244136),Alaska,United States of America,,4,,"['120807a1', '120807a2', '120807b1', '120807b2', '120807b3']"
120807a2,2012,8,7,55,69.64758,-152.15123,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.15122985839844 69.64758300781246),Alaska,United States of America,,4,,"['120807a1', '120807a2', '120807b1', '120807b2', '120807b3']"
120807b1,2012,8,7,55,69.29341,-152.16306,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.16305541992188 69.29341125488274),Alaska,United States of America,,5,,"['120807a1', '120807a2', '120807b1', '120807b2', '120807b3']"
120807b2,2012,8,7,55,69.29709,-152.16873,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.16873168945312 69.2970886230468),Alaska,United States of America,,5,,"['120807a1', '120807a2', '120807b1', '120807b2', '120807b3']"
120807b3,2012,8,7,55,69.30184,-152.17168,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.1716766357422 69.30184173583977),Alaska,United States of America,,5,,"['120807a1', '120807a2', '120807b1', '120807b2', '120807b3']"
120808a1,2012,8,8,55,69.41509,-152.38004,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.38003540039062 69.41509246826166),Alaska,United States of America,,5,,"['120808a1', '120808a2', '120808b1', '120808b2', '120808b3']"
120808a2,2012,8,8,55,69.41414,-152.36751,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.3675079345703 69.41413879394524),Alaska,United States of America,,5,,"['120808a1', '120808a2', '120808b1', '120808b2', '120808b3']"
120808b1,2012,8,8,55,69.81775,-152.36055,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.3605499267578 69.81774902343744),Alaska,United States of America,,4,,"['120808a1', '120808a2', '120808b1', '120808b2', '120808b3']"
